filename,width,height,class,xmin,ymin,xmax,ymax
856_jpg.rf.6ab3efcdec50911311d61b54efd3b465.jpg,640,640,V,236,362,296,492
856_jpg.rf.6ab3efcdec50911311d61b54efd3b465.jpg,640,640,V,300,174,364,300
856_jpg.rf.6ab3efcdec50911311d61b54efd3b465.jpg,640,640,O,303,355,367,479
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,V,181,156,247,291
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,O,252,152,324,279
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,Q,325,133,392,266
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,Q,394,119,466,251
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,I,469,110,530,239
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,E,537,103,600,241
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,S,195,307,259,451
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,H,265,305,331,449
1600_jpg.rf.6c09c90d5511b97aa6d76ee4e1166621.jpg,640,640,E,336,293,408,434
3536_jpg.rf.6c1cfac51a636870166786c427b9a924.jpg,640,640,N,1,398,48,539
3536_jpg.rf.6c1cfac51a636870166786c427b9a924.jpg,640,640,G,42,390,108,517
3536_jpg.rf.6c1cfac51a636870166786c427b9a924.jpg,640,640,V,189,341,259,464
3536_jpg.rf.6c1cfac51a636870166786c427b9a924.jpg,640,640,E,129,51,196,163
3536_jpg.rf.6c1cfac51a636870166786c427b9a924.jpg,640,640,L,197,27,266,150
3536_jpg.rf.6c1cfac51a636870166786c427b9a924.jpg,640,640,E,262,312,329,439
3536_jpg.rf.6c1cfac51a636870166786c427b9a924.jpg,640,640,M,264,14,325,130
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,T,52,177,118,312
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,R,138,166,201,306
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,E,219,158,286,298
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,C,60,354,127,483
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,K,145,358,223,484
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,R,252,500,319,640
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,S,330,496,397,640
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,S,315,320,381,453
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,H,396,303,469,441
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,I,384,125,451,265
534_jpg.rf.6b3102e296e6c4c4bee12005183d10ad.jpg,640,640,A,403,487,479,631
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,D,149,1,201,105
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,A,206,5,258,101
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,D,265,4,321,105
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,S,384,4,436,104
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,O,439,5,488,105
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,L,494,14,541,103
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,L,386,139,438,232
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,V,331,274,386,374
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,N,334,410,389,522
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,A,270,414,325,523
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,A,324,141,379,236
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,I,206,275,262,390
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,L,442,133,503,229
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,D,395,402,450,517
3292_jpg.rf.6c545226b0f3f28b9db1558bab937428.jpg,640,640,I,392,265,444,372
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,E,79,86,128,196
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,D,11,367,66,468
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,A,72,360,125,463
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,M,135,78,188,184
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,D,256,61,305,168
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,O,311,61,363,164
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,D,133,347,191,457
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,A,137,211,187,309
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,F,198,201,248,311
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,S,264,183,320,298
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,V,371,51,421,157
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,N,428,48,477,151
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,L,275,472,335,587
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,A,211,486,266,599
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,S,267,326,327,433
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,E,322,189,377,299
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,Q,379,182,432,289
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,O,327,321,383,430
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,L,339,462,406,577
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,L,387,316,442,420
2921_jpg.rf.6c6d9de958b58a3722ea7dbe39d4f5dc.jpg,640,640,S,524,56,567,145
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,H,42,7,62,40
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,E,125,6,147,41
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,Y,152,5,175,39
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,S,209,5,229,39
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,R,263,5,287,39
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,C,348,3,371,38
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,A,545,2,567,39
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,S,575,4,597,37
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,K,604,3,627,38
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,S,15,52,38,87
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,T,97,51,120,87
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,T,209,52,230,86
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,Y,403,51,425,86
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,L,490,49,513,84
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,D,546,48,568,84
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,S,603,49,626,84
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,H,42,99,65,135
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,A,96,99,118,132
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,E,236,99,256,133
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,Y,291,99,313,132
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,T,347,99,369,132
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,N,347,146,369,178
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,I,376,146,396,179
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,N,489,145,512,178
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,C,403,146,425,179
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,Y,603,146,626,181
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,U,124,192,148,228
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,A,69,194,91,228
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,E,153,193,176,228
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,L,180,192,204,228
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,S,237,194,260,229
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,C,290,192,315,229
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,T,347,194,370,226
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,R,375,193,398,227
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,Y,402,194,427,229
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,J,517,194,541,230
IMG20230422144257_jpg.rf.6d1fd1c0222cf0d0140950b550c2aa8a.jpg,640,288,A,545,194,568,230
2752_jpg.rf.6d6de05aefd23969197329d0d09d8ca9.jpg,640,640,L,0,85,56,197
2752_jpg.rf.6d6de05aefd23969197329d0d09d8ca9.jpg,640,640,T,52,66,112,178
2752_jpg.rf.6d6de05aefd23969197329d0d09d8ca9.jpg,640,640,R,117,41,173,156
2752_jpg.rf.6d6de05aefd23969197329d0d09d8ca9.jpg,640,640,E,5,225,54,334
2752_jpg.rf.6d6de05aefd23969197329d0d09d8ca9.jpg,640,640,L,40,511,96,620
2752_jpg.rf.6d6de05aefd23969197329d0d09d8ca9.jpg,640,640,H,174,32,235,150
2752_jpg.rf.6d6de05aefd23969197329d0d09d8ca9.jpg,640,640,M,94,494,155,618
